id,Narrative,Fakes,Disinfo_cases_en,Date,Countries,Media,Link,Debunking
564,Ukraine is conducting an aggressive policy,Kyiv ignores fulfillment ot the Minsk Agreements,"Kyiv forces continue to bomb the territories of the self-proclaimed people's republics of Lugansk and Donetsk (LPR and DPR) this Monday, according to statements released by the missions of the breakaway republics at the Joint Center for Control and Coordination on the ceasefire regime (JCCC).",21/2/2022,Italy,SNA.IT,https://it.sputniknews.com/20220221/le-forze-di-kiev-continuano-i-bombardamenti-riferiscono-lpr-e-dpr---aggiornamenti-15220460.html,"<p>The Minsk agreements were concluded as a result of the Ukrainian army defeats in 2014-2015, so they cannot be considered beneficial for Ukraine. Conditionally, the Minsk provisions can be divided into security and political parts.</p>  
<p>Security</p>  
<p>Security includes a ceasefire, withdrawal of heavy weapons, exchange of prisoners, access to humanitarian aid.
<p>Russia has not yet ensured its implementation. Nor has it set into action the measures to strengthen the ceasefire since July 2020. The US Mission to the OSCE emphasizes that Russia has not fulfilled any of its responsibilities: it has not stopped firing, has not withdrawn its heavy weapons from restricted areas, and has not provided unimpeded access for OSCE SMM observers. In addition, according to US Secretary of State Anthony Blinken, Russia has not implemented an all-for-all exchange, has not provided humanitarian aid through international mechanisms, has not allowed socio-economic ties to be restored and has not fulfilled a bunch of other points.</p> 
<p>Political part</p> 
<p>First, the agreements themselves do not clearly specify the procedure for implementing the provisions. Therefore, Russia cannot claim that Ukraine must first fulfill the political part – to adopt a special status for Donbas and hold local elections.</p> 
<p> Secondly, Russia claims that Ukraine should give Donbas autonomy. Whereas in Minsk it is only a matter of “special status” – not autonomy.</p> 
<p>The special status for Donbas will give the region significant privileges and make the rest of the regions be in an unequal position. Ukraine must also agree to regain control of the occupied territories only after local elections. These elections must be held under Ukrainian law, which is impossible due to the actual occupation of these territories. In addition, in recent years, Russia has issued its passports to more than 600,000 Ukrainians in the occupied territories. At the same time, the number of temporarily displaced people, most of whom left ORDLO, is 1.4 million. And most of them will not be able to vote in the election. As a result, Russia has significantly changed the situation in the ORDLO and stepped up its intervention.</p> "
2,Maidan in 2014 was a coup d'état,Maidan led to the separation of Donetsk and Luhansk and civil war in the region,"After the Maidan putsch in April 2014, Kyiv sent troops instead of negotiators to the Donbas and called the so-called anti-terrorist operation (ATO).",10/03/2021,Germany,Antispiegel,https://www.anti-spiegel.ru/2021/krieg-im-donbass-ukraine-verkuendet-das-ende-des-abkommens-von-minsk/,"<p>Not the Revolution of Dignity but Russian aggression led to the war in the East and the occupation of Crimea. Moreover, Russia also attacked on the information front, spreading <a href=""https://Russian.rt.com/ussr/article/898725-ukraina-nezavisimost-30-let"">fakes</a> about brutal right-wing Euromaidan activists who want to deal with the Russian-speaking population of Donbass and Crimea, from which they must be “saved” immediately.</p>
<p>These theses became the basis for the provocation and formation of “republics” that were never really independent. In 2014, during a rally to secede from Ukraine in Donetsk, militants <a href=""https://web.archive.org/web/20140304071459/http://zaxid.net/home/showSingleNews.do?u_donetsku_nad_oblradoyu_pidnyali_rosiyskiy_prapor&objectId=1303664"">raised the</a> Russian flag and Russian citizens took leadership positions. The “prime minister” of the DPR in 2014, Russian Alexander Borodai, <a href=""https://khpg.org/en/1565889311"">stated</a> later that if it were not for Putin, his policy of decision and action, there would be no Russian Donbass: DPR and LPR.</p>
<p>Russia’s intervention in the war has been proven <a href=""https://www.radiosvoboda.org/a/29565423.html"">repeatedly</a>. The regular Russian army, codenamed Ikhtamnet, took part in the battles against the Armed Forces in the summer of 2014, in the winter of 2015, and all the time afterwards, and was also responsible for shooting down MH-17. The presence of the Russian Federation was recognized by the <a href=""https://osce.usmission.gov/on-Russias-aggression-against-ukraine-5-2/?fbclid=IwAR0K0VfEi2rgep8hxs9cdyP6igEFKjzrBdDe7_thIhDyL_MXwK5lrx2wB2k"">OSCE</a> and <a href=""https://www.bellingcat.com/news/uk-and-europe/2018/05/10/full-report-Russian-officers-militants-identified-perpetrators-january-2015-mariupol-artillery-strike/?fbclid=IwAR2kEwgJ86x3TQzTiDxCwUZ-PL0asO9IRih3g4u0YHlPpLYq3e5ormExNns"">Bellingcat</a> investigators : thousands of Russian servicemen <a href=""https://ru.bellingcat.com/novosti/Russia/2016/08/31/medals-ru/?fbclid=IwAR2g_kL1QEMpot7HD3YIdTnvSwOYBBlRHPjWQFsrZXTtqRZz30JtrLa_PwA"">took part in the fighting in eastern Ukraine</a> and were awarded medals. Moreover, Russia was systematically increasing its influence in the occupied territories. In particular, in 2020, about 165 Russian passports were <a href=""https://www.ukrinform.ua/rubric-polytics/2883968-rnbo-mae-spiski-vsih-ukrainciv-aki-otrimali-pasporti-rf-na-donbasi-danilov.html"">issued</a> to residents of the DPR and the LPR and in 2021 – admission to the party «United Russia» and <a href=""https://www.radiosvoboda.org/a/donbas-edinaya-Russia-partiya/31592493.html"">the right to</a> vote in Russian elections. So there can be no question of any civil war.</p>"
3,Maidan in 2014 was a coup d'état,Maidan led to the separation of Donetsk and Luhansk and civil war in the region,Because of the Maidan coup and the thousands of dead that followed.,15/01/2022,Germany,RT.DE,https://de.rt.com/meinung/129862-lebkuchenhexe-im-weissen-haus/,"<p>Not the Revolution of Dignity but Russian aggression led to the war in the East and the occupation of Crimea. Moreover, Russia also attacked on the information front, spreading <a href=""https://Russian.rt.com/ussr/article/898725-ukraina-nezavisimost-30-let"">fakes</a> about brutal right-wing Euromaidan activists who want to deal with the Russian-speaking population of Donbass and Crimea, from which they must be “saved” immediately.</p>
<p>These theses became the basis for the provocation and formation of “republics” that were never really independent. In 2014, during a rally to secede from Ukraine in Donetsk, militants <a href=""https://web.archive.org/web/20140304071459/http://zaxid.net/home/showSingleNews.do?u_donetsku_nad_oblradoyu_pidnyali_rosiyskiy_prapor&objectId=1303664"">raised the</a> Russian flag and Russian citizens took leadership positions. The “prime minister” of the DPR in 2014, Russian Alexander Borodai, <a href=""https://khpg.org/en/1565889311"">stated</a> later that if it were not for Putin, his policy of decision and action, there would be no Russian Donbass: DPR and LPR.</p>
<p>Russia’s intervention in the war has been proven <a href=""https://www.radiosvoboda.org/a/29565423.html"">repeatedly</a>. The regular Russian army, codenamed Ikhtamnet, took part in the battles against the Armed Forces in the summer of 2014, in the winter of 2015, and all the time afterwards, and was also responsible for shooting down MH-17. The presence of the Russian Federation was recognized by the <a href=""https://osce.usmission.gov/on-Russias-aggression-against-ukraine-5-2/?fbclid=IwAR0K0VfEi2rgep8hxs9cdyP6igEFKjzrBdDe7_thIhDyL_MXwK5lrx2wB2k"">OSCE</a> and <a href=""https://www.bellingcat.com/news/uk-and-europe/2018/05/10/full-report-Russian-officers-militants-identified-perpetrators-january-2015-mariupol-artillery-strike/?fbclid=IwAR2kEwgJ86x3TQzTiDxCwUZ-PL0asO9IRih3g4u0YHlPpLYq3e5ormExNns"">Bellingcat</a> investigators : thousands of Russian servicemen <a href=""https://ru.bellingcat.com/novosti/Russia/2016/08/31/medals-ru/?fbclid=IwAR2g_kL1QEMpot7HD3YIdTnvSwOYBBlRHPjWQFsrZXTtqRZz30JtrLa_PwA"">took part in the fighting in eastern Ukraine</a> and were awarded medals. Moreover, Russia was systematically increasing its influence in the occupied territories. In particular, in 2020, about 165 Russian passports were <a href=""https://www.ukrinform.ua/rubric-polytics/2883968-rnbo-mae-spiski-vsih-ukrainciv-aki-otrimali-pasporti-rf-na-donbasi-danilov.html"">issued</a> to residents of the DPR and the LPR and in 2021 – admission to the party «United Russia» and <a href=""https://www.radiosvoboda.org/a/donbas-edinaya-Russia-partiya/31592493.html"">the right to</a> vote in Russian elections. So there can be no question of any civil war.</p>"
4,Maidan in 2014 was a coup d'état,Maidan led to the separation of Donetsk and Luhansk and civil war in the region,A civil war has been raging there since a coup supported by the USA and Germany in February 2014 led to the fall of the pro-Russian government of Viktor Yanukovych.,23/04/2021,Germany,wsws.org,https://www.wsws.org/de/articles/2021/04/23/ukra-a23.html,"<p>Not the Revolution of Dignity but Russian aggression led to the war in the East and the occupation of Crimea. Moreover, Russia also attacked on the information front, spreading <a href=""https://Russian.rt.com/ussr/article/898725-ukraina-nezavisimost-30-let"">fakes</a> about brutal right-wing Euromaidan activists who want to deal with the Russian-speaking population of Donbass and Crimea, from which they must be “saved” immediately.</p>
<p>These theses became the basis for the provocation and formation of “republics” that were never really independent. In 2014, during a rally to secede from Ukraine in Donetsk, militants <a href=""https://web.archive.org/web/20140304071459/http://zaxid.net/home/showSingleNews.do?u_donetsku_nad_oblradoyu_pidnyali_rosiyskiy_prapor&objectId=1303664"">raised the</a> Russian flag and Russian citizens took leadership positions. The “prime minister” of the DPR in 2014, Russian Alexander Borodai, <a href=""https://khpg.org/en/1565889311"">stated</a> later that if it were not for Putin, his policy of decision and action, there would be no Russian Donbass: DPR and LPR.</p>
<p>Russia’s intervention in the war has been proven <a href=""https://www.radiosvoboda.org/a/29565423.html"">repeatedly</a>. The regular Russian army, codenamed Ikhtamnet, took part in the battles against the Armed Forces in the summer of 2014, in the winter of 2015, and all the time afterwards, and was also responsible for shooting down MH-17. The presence of the Russian Federation was recognized by the <a href=""https://osce.usmission.gov/on-Russias-aggression-against-ukraine-5-2/?fbclid=IwAR0K0VfEi2rgep8hxs9cdyP6igEFKjzrBdDe7_thIhDyL_MXwK5lrx2wB2k"">OSCE</a> and <a href=""https://www.bellingcat.com/news/uk-and-europe/2018/05/10/full-report-Russian-officers-militants-identified-perpetrators-january-2015-mariupol-artillery-strike/?fbclid=IwAR2kEwgJ86x3TQzTiDxCwUZ-PL0asO9IRih3g4u0YHlPpLYq3e5ormExNns"">Bellingcat</a> investigators : thousands of Russian servicemen <a href=""https://ru.bellingcat.com/novosti/Russia/2016/08/31/medals-ru/?fbclid=IwAR2g_kL1QEMpot7HD3YIdTnvSwOYBBlRHPjWQFsrZXTtqRZz30JtrLa_PwA"">took part in the fighting in eastern Ukraine</a> and were awarded medals. Moreover, Russia was systematically increasing its influence in the occupied territories. In particular, in 2020, about 165 Russian passports were <a href=""https://www.ukrinform.ua/rubric-polytics/2883968-rnbo-mae-spiski-vsih-ukrainciv-aki-otrimali-pasporti-rf-na-donbasi-danilov.html"">issued</a> to residents of the DPR and the LPR and in 2021 – admission to the party «United Russia» and <a href=""https://www.radiosvoboda.org/a/donbas-edinaya-Russia-partiya/31592493.html"">the right to</a> vote in Russian elections. So there can be no question of any civil war.</p>"
5,Maidan in 2014 was a coup d'état,Maidan led to the separation of Donetsk and Luhansk and civil war in the region,"Of course, Biden knows who initiated the 2014 coup in Ukraine, ruined the country and led it to civil war: he was Vice President at the time and went in and out of Ukraine. ",19/12/2021,Germany,RT.DE,https://de.rt.com/meinung/128478-russland-und-china-versus-usa/,"<p>Not the Revolution of Dignity but Russian aggression led to the war in the East and the occupation of Crimea. Moreover, Russia also attacked on the information front, spreading <a href=""https://Russian.rt.com/ussr/article/898725-ukraina-nezavisimost-30-let"">fakes</a> about brutal right-wing Euromaidan activists who want to deal with the Russian-speaking population of Donbass and Crimea, from which they must be “saved” immediately.</p>
<p>These theses became the basis for the provocation and formation of “republics” that were never really independent. In 2014, during a rally to secede from Ukraine in Donetsk, militants <a href=""https://web.archive.org/web/20140304071459/http://zaxid.net/home/showSingleNews.do?u_donetsku_nad_oblradoyu_pidnyali_rosiyskiy_prapor&objectId=1303664"">raised the</a> Russian flag and Russian citizens took leadership positions. The “prime minister” of the DPR in 2014, Russian Alexander Borodai, <a href=""https://khpg.org/en/1565889311"">stated</a> later that if it were not for Putin, his policy of decision and action, there would be no Russian Donbass: DPR and LPR.</p>
<p>Russia’s intervention in the war has been proven <a href=""https://www.radiosvoboda.org/a/29565423.html"">repeatedly</a>. The regular Russian army, codenamed Ikhtamnet, took part in the battles against the Armed Forces in the summer of 2014, in the winter of 2015, and all the time afterwards, and was also responsible for shooting down MH-17. The presence of the Russian Federation was recognized by the <a href=""https://osce.usmission.gov/on-Russias-aggression-against-ukraine-5-2/?fbclid=IwAR0K0VfEi2rgep8hxs9cdyP6igEFKjzrBdDe7_thIhDyL_MXwK5lrx2wB2k"">OSCE</a> and <a href=""https://www.bellingcat.com/news/uk-and-europe/2018/05/10/full-report-Russian-officers-militants-identified-perpetrators-january-2015-mariupol-artillery-strike/?fbclid=IwAR2kEwgJ86x3TQzTiDxCwUZ-PL0asO9IRih3g4u0YHlPpLYq3e5ormExNns"">Bellingcat</a> investigators : thousands of Russian servicemen <a href=""https://ru.bellingcat.com/novosti/Russia/2016/08/31/medals-ru/?fbclid=IwAR2g_kL1QEMpot7HD3YIdTnvSwOYBBlRHPjWQFsrZXTtqRZz30JtrLa_PwA"">took part in the fighting in eastern Ukraine</a> and were awarded medals. Moreover, Russia was systematically increasing its influence in the occupied territories. In particular, in 2020, about 165 Russian passports were <a href=""https://www.ukrinform.ua/rubric-polytics/2883968-rnbo-mae-spiski-vsih-ukrainciv-aki-otrimali-pasporti-rf-na-donbasi-danilov.html"">issued</a> to residents of the DPR and the LPR and in 2021 – admission to the party «United Russia» and <a href=""https://www.radiosvoboda.org/a/donbas-edinaya-Russia-partiya/31592493.html"">the right to</a> vote in Russian elections. So there can be no question of any civil war.</p>"
6,Maidan in 2014 was a coup d'état,Maidan led to the separation of Donetsk and Luhansk and civil war in the region,"The Ukrainian authorities launched a military operation in April 2014 against the self-declared republics of Donetsk and Luhansk, which had proclaimed independence after the February 2014 coup in Kyiv. ",27/12/2021,Germany,SNA.DE,https://snanews.de/20211226/buergerkriegserweiterung-im-donbass-voellig-unzulaessig--kreml-4818628.html,"<p>Not the Revolution of Dignity but Russian aggression led to the war in the East and the occupation of Crimea. Moreover, Russia also attacked on the information front, spreading <a href=""https://Russian.rt.com/ussr/article/898725-ukraina-nezavisimost-30-let"">fakes</a> about brutal right-wing Euromaidan activists who want to deal with the Russian-speaking population of Donbass and Crimea, from which they must be “saved” immediately.</p>
<p>These theses became the basis for the provocation and formation of “republics” that were never really independent. In 2014, during a rally to secede from Ukraine in Donetsk, militants <a href=""https://web.archive.org/web/20140304071459/http://zaxid.net/home/showSingleNews.do?u_donetsku_nad_oblradoyu_pidnyali_rosiyskiy_prapor&objectId=1303664"">raised the</a> Russian flag and Russian citizens took leadership positions. The “prime minister” of the DPR in 2014, Russian Alexander Borodai, <a href=""https://khpg.org/en/1565889311"">stated</a> later that if it were not for Putin, his policy of decision and action, there would be no Russian Donbass: DPR and LPR.</p>
<p>Russia’s intervention in the war has been proven <a href=""https://www.radiosvoboda.org/a/29565423.html"">repeatedly</a>. The regular Russian army, codenamed Ikhtamnet, took part in the battles against the Armed Forces in the summer of 2014, in the winter of 2015, and all the time afterwards, and was also responsible for shooting down MH-17. The presence of the Russian Federation was recognized by the <a href=""https://osce.usmission.gov/on-Russias-aggression-against-ukraine-5-2/?fbclid=IwAR0K0VfEi2rgep8hxs9cdyP6igEFKjzrBdDe7_thIhDyL_MXwK5lrx2wB2k"">OSCE</a> and <a href=""https://www.bellingcat.com/news/uk-and-europe/2018/05/10/full-report-Russian-officers-militants-identified-perpetrators-january-2015-mariupol-artillery-strike/?fbclid=IwAR2kEwgJ86x3TQzTiDxCwUZ-PL0asO9IRih3g4u0YHlPpLYq3e5ormExNns"">Bellingcat</a> investigators : thousands of Russian servicemen <a href=""https://ru.bellingcat.com/novosti/Russia/2016/08/31/medals-ru/?fbclid=IwAR2g_kL1QEMpot7HD3YIdTnvSwOYBBlRHPjWQFsrZXTtqRZz30JtrLa_PwA"">took part in the fighting in eastern Ukraine</a> and were awarded medals. Moreover, Russia was systematically increasing its influence in the occupied territories. In particular, in 2020, about 165 Russian passports were <a href=""https://www.ukrinform.ua/rubric-polytics/2883968-rnbo-mae-spiski-vsih-ukrainciv-aki-otrimali-pasporti-rf-na-donbasi-danilov.html"">issued</a> to residents of the DPR and the LPR and in 2021 – admission to the party «United Russia» and <a href=""https://www.radiosvoboda.org/a/donbas-edinaya-Russia-partiya/31592493.html"">the right to</a> vote in Russian elections. So there can be no question of any civil war.</p>"
7,Maidan in 2014 was a coup d'état,Maidan led to the separation of Donetsk and Luhansk and civil war in the region,"After the putsch on the Maidan in 2014, that was the most important reason why Ukrainian citizens in the Donbas in the south-east of Ukraine became separatists and decided to secede from Ukraine, which led to the civil war that is still ongoing and has recently flared up again after all.",31/10/2021,Germany,Info Sperber,https://www.infosperber.ch/politik/schweiz/so-will-br-ignazio-cassis-die-ukraine-in-lugano-aufleben-lassen/,"<p>Not the Revolution of Dignity but Russian aggression led to the war in the East and the occupation of Crimea. Moreover, Russia also attacked on the information front, spreading <a href=""https://Russian.rt.com/ussr/article/898725-ukraina-nezavisimost-30-let"">fakes</a> about brutal right-wing Euromaidan activists who want to deal with the Russian-speaking population of Donbass and Crimea, from which they must be “saved” immediately.</p>
<p>These theses became the basis for the provocation and formation of “republics” that were never really independent. In 2014, during a rally to secede from Ukraine in Donetsk, militants <a href=""https://web.archive.org/web/20140304071459/http://zaxid.net/home/showSingleNews.do?u_donetsku_nad_oblradoyu_pidnyali_rosiyskiy_prapor&objectId=1303664"">raised the</a> Russian flag and Russian citizens took leadership positions. The “prime minister” of the DPR in 2014, Russian Alexander Borodai, <a href=""https://khpg.org/en/1565889311"">stated</a> later that if it were not for Putin, his policy of decision and action, there would be no Russian Donbass: DPR and LPR.</p>
<p>Russia’s intervention in the war has been proven <a href=""https://www.radiosvoboda.org/a/29565423.html"">repeatedly</a>. The regular Russian army, codenamed Ikhtamnet, took part in the battles against the Armed Forces in the summer of 2014, in the winter of 2015, and all the time afterwards, and was also responsible for shooting down MH-17. The presence of the Russian Federation was recognized by the <a href=""https://osce.usmission.gov/on-Russias-aggression-against-ukraine-5-2/?fbclid=IwAR0K0VfEi2rgep8hxs9cdyP6igEFKjzrBdDe7_thIhDyL_MXwK5lrx2wB2k"">OSCE</a> and <a href=""https://www.bellingcat.com/news/uk-and-europe/2018/05/10/full-report-Russian-officers-militants-identified-perpetrators-january-2015-mariupol-artillery-strike/?fbclid=IwAR2kEwgJ86x3TQzTiDxCwUZ-PL0asO9IRih3g4u0YHlPpLYq3e5ormExNns"">Bellingcat</a> investigators : thousands of Russian servicemen <a href=""https://ru.bellingcat.com/novosti/Russia/2016/08/31/medals-ru/?fbclid=IwAR2g_kL1QEMpot7HD3YIdTnvSwOYBBlRHPjWQFsrZXTtqRZz30JtrLa_PwA"">took part in the fighting in eastern Ukraine</a> and were awarded medals. Moreover, Russia was systematically increasing its influence in the occupied territories. In particular, in 2020, about 165 Russian passports were <a href=""https://www.ukrinform.ua/rubric-polytics/2883968-rnbo-mae-spiski-vsih-ukrainciv-aki-otrimali-pasporti-rf-na-donbasi-danilov.html"">issued</a> to residents of the DPR and the LPR and in 2021 – admission to the party «United Russia» and <a href=""https://www.radiosvoboda.org/a/donbas-edinaya-Russia-partiya/31592493.html"">the right to</a> vote in Russian elections. So there can be no question of any civil war.</p>"
563,Ukraine is conducting an aggressive policy,Kyiv ignores fulfillment ot the Minsk Agreements,"The situation in the Donbas has worsened in recent days, with the self-proclaimed people's republics of Donetsk and Lugansk repeatedly announcing numerous bombings by Ukrainian security forces.",21/2/2022,Italy,SNA.IT,https://it.sputniknews.com/20220221/missile-sparato-dallucraina-distrugge-un-checkpoint-di-confine-sul-territorio-russo---video-15228148.html,"<p>The Minsk agreements were concluded as a result of the Ukrainian army defeats in 2014-2015, so they cannot be considered beneficial for Ukraine. Conditionally, the Minsk provisions can be divided into security and political parts.</p>  
<p>Security</p>  
<p>Security includes a ceasefire, withdrawal of heavy weapons, exchange of prisoners, access to humanitarian aid.
<p>Russia has not yet ensured its implementation. Nor has it set into action the measures to strengthen the ceasefire since July 2020. The US Mission to the OSCE emphasizes that Russia has not fulfilled any of its responsibilities: it has not stopped firing, has not withdrawn its heavy weapons from restricted areas, and has not provided unimpeded access for OSCE SMM observers. In addition, according to US Secretary of State Anthony Blinken, Russia has not implemented an all-for-all exchange, has not provided humanitarian aid through international mechanisms, has not allowed socio-economic ties to be restored and has not fulfilled a bunch of other points.</p> 
<p>Political part</p> 
<p>First, the agreements themselves do not clearly specify the procedure for implementing the provisions. Therefore, Russia cannot claim that Ukraine must first fulfill the political part – to adopt a special status for Donbas and hold local elections.</p> 
<p> Secondly, Russia claims that Ukraine should give Donbas autonomy. Whereas in Minsk it is only a matter of “special status” – not autonomy.</p> 
<p>The special status for Donbas will give the region significant privileges and make the rest of the regions be in an unequal position. Ukraine must also agree to regain control of the occupied territories only after local elections. These elections must be held under Ukrainian law, which is impossible due to the actual occupation of these territories. In addition, in recent years, Russia has issued its passports to more than 600,000 Ukrainians in the occupied territories. At the same time, the number of temporarily displaced people, most of whom left ORDLO, is 1.4 million. And most of them will not be able to vote in the election. As a result, Russia has significantly changed the situation in the ORDLO and stepped up its intervention.</p> "
543,Ukraine is conducting an aggressive policy,The Ukrainian military open fire at civilians,"Tension is skyrocketing in the self-proclaimed republics of Donbass, where thousands of people have had to leave their homes and are being evacuated to Russia due to constant bombing by Ukrainian forces.",21/02/2022,Italy,SNA.IT,https://it.sputniknews.com/20220221/15226624.html,"<p>Reports of shelling in the Donbas by the Armed Forces refer to the so-called “People’s Militia of the DPR” and the “People’s Militia of the LPR” which are illegal formations of pseudo-republics. These entities do not provide any evidence of their claims. They are also not confirmed by the data of international observers, namely the OSCE Specialized Monitoring Mission in Ukraine.</p>  
<p>Or they distort the data in the OSCE SMM reports. For example, in April 2021, propagandists reported that a child had died in the Donbas as a result of the Ukrainian drone attack. The mission <a href=""https://www.osce.org/special-monitoring-mission-to-ukraine/482927"">confirmed</a> the child’s death “as a result of an explosive injury and multiple shrapnel wounds.” There is no information that the child died as a result of a drone strike. And the village of Oleksandrivske, where the incident took place, is in the deep rear of the militants – a drone of the Armed Forces of Ukraine simply could not reach it.</p>
<p>In other cases, the militants referred to the JCCC – Joint Center for Control and Coordination on ceasefire and stabilization of the demarcation line. It was organized in 2014 with the participation of the Ukrainian and Russian military.</p>
<p>But at the end of 2017, Russia withdrew from the JCCC due to new entry rules for Russian officers. Their places in the territories not controlled by Ukraine were taken by militants of the so-called “LDPR”, so their messages cannot be called impartial. Ukraine does not recognize the representatives of the self-proclaimed “republics” as part of the Joint Center, and the EU has called on Russia to <a href=""https://www.osce.org/files/f/documents/9/9/469707.pdf"">return</a> its officers to the JCCC.</p>
<p>In most cases, the ceasefire is violated by Russian occupation forces</p>
<p>On July 27, 2020, the agreement on the establishment of a full and comprehensive ceasefire in Donbas went into effect. Russia claims that Ukraine, ostensibly, does not abide by the terms of the ceasefire. This is not true: the OSCE SMM data proves the opposite. For example, reports for 2021:
in <a href=""https://www.osce.org/files/f/documents/4/1/485378.pdf"">January-March</a>, 98% of ceasefire cases were recorded in territories not under Ukraine’s control;
in <a href=""https://www.osce.org/files/f/documents/0/0/495784.pdf"">April-June</a>, 93% of ceasefire cases were recorded in territories not under Ukraine’s control;
in <a href=""https://www.osce.org/files/f/documents/0/0/504544.pdf"">July-September</a>, 87% of ceasefire cases were recorded in territories not under Ukraine’s control.</p>
<p>The forced evacuation of civilians, which the militants announced in the territories of the so-called “LPR” and “DPR” on February 18, 2021, was a pre-planned operation. According to metadata, a video with “LPR leader” Leonid Pasichnyk about the evacuation was recorded at least two days before its publication on February 16. The video of DNR leader Denis Pushylin with a similar appeal was also recorded on February 16. That is, even before “Ukraine launched an attack” according to Russia.</p>
<p>All this indicates that the reasons for the “evacuation” of the population were invented in advance. Meanwhile, the militants rejected the offer of the Ukrainian side to hold an extraordinary meeting of the Tripartite Contact Group – a group of representatives from Ukraine, the OSCE and Russia, formed for a diplomatic solution to the war in Donbas.</p>"
573,Ukraine is conducting an aggressive policy,Kyiv ignores fulfillment ot the Minsk Agreements,"With the situation in eastern Ukraine worsening every day, the West continues to speak of a ""Russian threat"" and promises ""never seen before"" sanctions against Russia should it invade Ukraine. At the same time, Kiev continues to violate the Minsk agreements and continues to bomb the Donbass, forcing thousands of people to flee to Russia.",20/02/2022,Italy,SNA.IT,https://it.sputniknews.com/20220220/per-ex-eurodeputato-accordi-di-minsk-e-pace-in-ucraina-sono-lultima-cosa-che-vogliono-usa-e-gb-15200645.html,"<p>The Minsk agreements were concluded as a result of the Ukrainian army defeats in 2014-2015, so they cannot be considered beneficial for Ukraine. Conditionally, the Minsk provisions can be divided into security and political parts.</p>  
<p>Security</p>  
<p>Security includes a ceasefire, withdrawal of heavy weapons, exchange of prisoners, access to humanitarian aid.
<p>Russia has not yet ensured its implementation. Nor has it set into action the measures to strengthen the ceasefire since July 2020. The US Mission to the OSCE emphasizes that Russia has not fulfilled any of its responsibilities: it has not stopped firing, has not withdrawn its heavy weapons from restricted areas, and has not provided unimpeded access for OSCE SMM observers. In addition, according to US Secretary of State Anthony Blinken, Russia has not implemented an all-for-all exchange, has not provided humanitarian aid through international mechanisms, has not allowed socio-economic ties to be restored and has not fulfilled a bunch of other points.</p> 
<p>Political part</p> 
<p>First, the agreements themselves do not clearly specify the procedure for implementing the provisions. Therefore, Russia cannot claim that Ukraine must first fulfill the political part – to adopt a special status for Donbas and hold local elections.</p> 
<p> Secondly, Russia claims that Ukraine should give Donbas autonomy. Whereas in Minsk it is only a matter of “special status” – not autonomy.</p> 
<p>The special status for Donbas will give the region significant privileges and make the rest of the regions be in an unequal position. Ukraine must also agree to regain control of the occupied territories only after local elections. These elections must be held under Ukrainian law, which is impossible due to the actual occupation of these territories. In addition, in recent years, Russia has issued its passports to more than 600,000 Ukrainians in the occupied territories. At the same time, the number of temporarily displaced people, most of whom left ORDLO, is 1.4 million. And most of them will not be able to vote in the election. As a result, Russia has significantly changed the situation in the ORDLO and stepped up its intervention.</p> "
